card_sku_id,Category,Product Name,Number,Rarity,Set,Condition,Market Price,Max QTY
8611679,Magic,All-Out Assault,167,M,Tarkir: Dragonstorm,Near Mint,3.49,100
8611079,Magic,All-Out Assault (Borderless),352,M,Tarkir: Dragonstorm,Near Mint,5.1,100
8634028,Magic,Avenger of the Fallen (Borderless),337,R,Tarkir: Dragonstorm,Near Mint,0.6,100
8620415,Magic,Awaken the Honored Dead (Borderless),383,R,Tarkir: Dragonstorm,Near Mint,0.56,100
8586191,Magic,Barrensteppe Siege (Borderless),384,R,Tarkir: Dragonstorm,Near Mint,1.42,100
8611799,Magic,"Betor, Kin to All",172,M,Tarkir: Dragonstorm,Near Mint,8.77,100
8611199,Magic,"Betor, Kin to All (Borderless)",353,M,Tarkir: Dragonstorm,Near Mint,19.96,100
8618188,Magic,"Betor, Kin to All (Showcase)",308,M,Tarkir: Dragonstorm,Near Mint,22.56,100
8620695,Magic,Bloomvine Regent,136,R,Tarkir: Dragonstorm,Near Mint,0.75,100
8620755,Magic,Bloomvine Regent (Borderless),381,R,Tarkir: Dragonstorm,Near Mint,2.23,100
8632693,Magic,Call the Spirit Dragons,174,M,Tarkir: Dragonstorm,Near Mint,3.35,100
8632753,Magic,Call the Spirit Dragons (Showcase),309,M,Tarkir: Dragonstorm,Near Mint,10.47,100
8632818,Magic,Clarion Conqueror,5,R,Tarkir: Dragonstorm,Near Mint,1.64,100
8633238,Magic,Clarion Conqueror (Borderless),377,R,Tarkir: Dragonstorm,Near Mint,2.25,100
8625346,Magic,Cori Mountain Monastery (Borderless),393,R,Tarkir: Dragonstorm,Near Mint,1,100
8634869,Magic,Cori-Steel Cutter,103,R,Tarkir: Dragonstorm,Near Mint,14.22,100
8635340,Magic,Cori-Steel Cutter (Borderless),343,R,Tarkir: Dragonstorm,Near Mint,14.23,100
8611859,Magic,Craterhoof Behemoth,138,M,Tarkir: Dragonstorm,Near Mint,15.17,100
8611259,Magic,Craterhoof Behemoth (Borderless),346,M,Tarkir: Dragonstorm,Near Mint,15.98,100
8625406,Magic,Dalkovan Encampment (Borderless),394,R,Tarkir: Dragonstorm,Near Mint,0.81,100
8634148,Magic,Death Begets Life,176,M,Tarkir: Dragonstorm,Near Mint,0.55,100
8635049,Magic,Death Begets Life (Borderless),354,M,Tarkir: Dragonstorm,Near Mint,1.34,100
8620535,Magic,Dracogenesis,105,M,Tarkir: Dragonstorm,Near Mint,15.27,100
8620595,Magic,Dracogenesis (0300) (Showcase),300,M,Tarkir: Dragonstorm,Near Mint,20.91,100
8619975,Magic,Dragonback Assault,179,M,Tarkir: Dragonstorm,Near Mint,3.27,100
8624506,Magic,Dragonback Assault (Borderless),355,M,Tarkir: Dragonstorm,Near Mint,3.02,100
8640983,Magic,Dragonfire Blade,240,R,Tarkir: Dragonstorm,Near Mint,0.65,100
8641043,Magic,Dragonfire Blade (Showcase),324,R,Tarkir: Dragonstorm,Near Mint,1.66,100
8633528,Magic,Dragonologist (Showcase),295,R,Tarkir: Dragonstorm,Near Mint,0.79,100
8611919,Magic,"Elspeth, Storm Slayer",11,M,Tarkir: Dragonstorm,Near Mint,34.42,100
8610899,Magic,"Elspeth, Storm Slayer (Borderless)",398,M,Tarkir: Dragonstorm,Near Mint,41.48,100
8642269,Magic,Encroaching Dragonstorm (Showcase),305,U,Tarkir: Dragonstorm,Near Mint,0.79,100
8629910,Magic,Fangkeeper's Familiar (Borderless),357,R,Tarkir: Dragonstorm,Near Mint,0.61,100
8613179,Magic,Forest (0276),276,L,Tarkir: Dragonstorm,Near Mint,1.09,100
8612879,Magic,Forest (0291),291,L,Tarkir: Dragonstorm,Near Mint,6.57,100
8612039,Magic,Frostcliff Siege,187,R,Tarkir: Dragonstorm,Near Mint,1.04,100
8610959,Magic,Frostcliff Siege (Borderless),385,R,Tarkir: Dragonstorm,Near Mint,3.75,100
8630150,Magic,Glacierwood Siege (Borderless),386,R,Tarkir: Dragonstorm,Near Mint,1.11,100
8625466,Magic,Great Arashin City (Borderless),395,R,Tarkir: Dragonstorm,Near Mint,0.69,100
8635520,Magic,Herd Heirloom,144,R,Tarkir: Dragonstorm,Near Mint,5.3,100
8635640,Magic,Herd Heirloom (Borderless),347,R,Tarkir: Dragonstorm,Near Mint,5.65,100
8635279,Magic,Hollowmurk Siege (Borderless),387,R,Tarkir: Dragonstorm,Near Mint,1.46,100
8613239,Magic,Island (0273),273,L,Tarkir: Dragonstorm,Near Mint,0.88,100
8612939,Magic,Island (0288),288,L,Tarkir: Dragonstorm,Near Mint,5.75,100
8646094,Magic,Jeskai Revelation,196,M,Tarkir: Dragonstorm,Near Mint,0.92,100
8646344,Magic,Jeskai Revelation (Borderless),361,M,Tarkir: Dragonstorm,Near Mint,0.82,100
8625526,Magic,Kishla Village (Borderless),396,R,Tarkir: Dragonstorm,Near Mint,0.7,100
