card_sku_id,date,sales_price_max,direct_low,set_name,rarity,condition,multiplier
7182186,2025-03-11,1.55,0.01,The List Reprints,U,Near Mint,155.0
5650551,2025-03-18,3.19,0.03,Commander Legends: Battle for Baldur's Gate,R,Lightly Played,106.33333333333333
7253305,2025-04-09,1.59,0.01,Commander Masters,R,Near Mint Foil,159.0
7253305,2025-04-11,1.59,0.01,Commander Masters,R,Near Mint Foil,159.0
7253300,2025-04-15,1.99,0.01,Commander Masters,R,Near Mint,199.0
7253305,2025-04-15,1.21,0.01,Commander Masters,R,Near Mint Foil,121.0
7253305,2025-04-16,1.99,0.01,Commander Masters,R,Near Mint Foil,199.0
7253305,2025-04-17,1.99,0.01,Commander Masters,R,Near Mint Foil,199.0
7253300,2025-04-17,1.7,0.01,Commander Masters,R,Near Mint,170.0
7253305,2025-04-18,1.99,0.01,Commander Masters,R,Near Mint Foil,199.0
7253305,2025-04-19,1.99,0.01,Commander Masters,R,Near Mint Foil,199.0
7253300,2025-04-20,1.88,0.01,Commander Masters,R,Near Mint,187.99999999999997
5696389,2025-04-22,79.99,0.76,Double Masters 2022,R,Lightly Played,105.24999999999999
3742869,2025-04-22,40.0,0.09,Signature Spellbook: Jace,R,Near Mint,444.44444444444446
7253305,2025-04-23,1.99,0.01,Commander Masters,R,Near Mint Foil,199.0
3742869,2025-04-23,15.68,0.09,Signature Spellbook: Jace,R,Near Mint,174.22222222222223
3742869,2025-04-24,15.43,0.09,Signature Spellbook: Jace,R,Near Mint,171.44444444444446
7253305,2025-04-25,1.98,0.01,Commander Masters,R,Near Mint Foil,198.0
3742869,2025-04-25,12.98,0.09,Signature Spellbook: Jace,R,Near Mint,144.22222222222223
3742869,2025-04-26,15.0,0.09,Signature Spellbook: Jace,R,Near Mint,166.66666666666669
7253305,2025-04-27,1.99,0.01,Commander Masters,R,Near Mint Foil,199.0
3742869,2025-04-27,19.99,0.09,Signature Spellbook: Jace,R,Near Mint,222.11111111111111
3742869,2025-04-28,12.17,0.09,Signature Spellbook: Jace,R,Near Mint,135.22222222222223
7253305,2025-04-28,2.01,0.01,Commander Masters,R,Near Mint Foil,200.99999999999997
3742869,2025-04-29,12.17,0.09,Signature Spellbook: Jace,R,Near Mint,135.22222222222223
7253300,2025-04-29,1.01,0.01,Commander Masters,R,Near Mint,101.0
7253305,2025-04-29,1.34,0.01,Commander Masters,R,Near Mint Foil,134.0
3742869,2025-04-30,12.12,0.09,Signature Spellbook: Jace,R,Near Mint,134.66666666666666
3742869,2025-05-01,11.19,0.09,Signature Spellbook: Jace,R,Near Mint,124.33333333333333
7253305,2025-05-01,1.37,0.01,Commander Masters,R,Near Mint Foil,137.0
7253305,2025-05-02,1.99,0.01,Commander Masters,R,Near Mint Foil,199.0
7286918,2025-05-02,2.09,0.02,Commander Masters,R,Lightly Played,104.49999999999999
3742869,2025-05-02,11.2,0.09,Signature Spellbook: Jace,R,Near Mint,124.44444444444444
3742869,2025-05-03,11.0,0.09,Signature Spellbook: Jace,R,Near Mint,122.22222222222223
7253300,2025-05-03,1.03,0.01,Commander Masters,R,Near Mint,103.0
7253305,2025-05-03,1.39,0.01,Commander Masters,R,Near Mint Foil,139.0
7253305,2025-05-04,1.42,0.01,Commander Masters,R,Near Mint Foil,142.0
3742869,2025-05-04,10.0,0.09,Signature Spellbook: Jace,R,Near Mint,111.11111111111111
7253305,2025-05-05,2.4,0.01,Commander Masters,R,Near Mint Foil,240.0
3742869,2025-05-05,13.49,0.09,Signature Spellbook: Jace,R,Near Mint,149.88888888888889
3742869,2025-05-06,10.83,0.09,Signature Spellbook: Jace,R,Near Mint,120.33333333333334
3742869,2025-05-07,14.99,0.09,Signature Spellbook: Jace,R,Near Mint,166.55555555555557
